timestamp,meter_id,load,lag_1,lag_2,lag_24,roll24_mean,hour,dayofweek,month,is_weekend
2025-01-02 01:00:00,177077.5,245.85812568664556,250.0730003356934,250.24166531032972,252.04166793823242,246.7476452560917,1,3,1,0
2025-01-02 02:00:00,165971.44444444444,243.3455564710829,245.85812568664556,250.0730003356934,257.4350013732912,246.48999766227556,2,3,1,0
2025-01-02 03:00:00,145085.0,243.84874916076657,243.3455564710829,245.85812568664556,253.8406445903164,245.9029374580169,3,3,1,0
2025-01-02 04:00:00,210465.83333333334,253.54249827067065,243.84874916076657,243.3455564710829,255.11999681260866,245.48660848178565,4,3,1,0
2025-01-02 05:00:00,141971.11111111112,247.2838897705078,253.54249827067065,243.84874916076657,251.8010009765625,245.42087937587158,5,3,1,0
2025-01-02 06:00:00,191416.85714285713,252.23071289062514,247.2838897705078,253.54249827067065,251.31777784559472,245.2326664089526,6,3,1,0
2025-01-02 07:00:00,137520.0,250.51499938964852,252.23071289062514,247.2838897705078,250.13562297821045,245.27070536916221,7,3,1,0
2025-01-02 08:00:00,258882.0,253.759994506836,250.51499938964852,252.23071289062514,242.6395004272461,245.2865127196388,8,3,1,0
2025-01-02 09:00:00,215308.8620689655,254.2455175991716,253.759994506836,250.51499938964852,239.33277893066412,245.7498666396217,9,3,1,0
2025-01-02 10:00:00,201871.2857142857,259.0414254324778,254.2455175991716,253.759994506836,240.91749954223633,246.37123075080953,10,3,1,0
2025-01-02 11:00:00,159323.25,253.40250396728527,259.0414254324778,254.2455175991716,226.52785600934712,247.1263943295696,11,3,1,0
2025-01-02 12:00:00,204099.3,257.7760009765626,253.40250396728527,259.0414254324778,243.42416763305656,248.24617132781702,12,3,1,0
2025-01-02 13:00:00,200782.6,259.7180023193359,257.7760009765626,253.40250396728527,243.76312541961667,248.84416438379642,13,3,1,0
2025-01-02 14:00:00,200222.07692307694,250.88846177321213,259.7180023193359,257.7760009765626,244.10208320617676,249.50895092128474,14,3,1,0
2025-01-02 15:00:00,200801.0,259.27099304199237,250.88846177321213,259.7180023193359,244.44104099273687,249.7917166949112,15,3,1,0
2025-01-02 16:00:00,76981.0,247.090000152588,259.27099304199237,250.88846177321213,244.779998779297,250.40963136363018,16,3,1,0
2025-01-02 17:00:00,175996.42857142858,256.4264264787947,247.090000152588,259.27099304199237,245.31947803497326,250.50588142085067,17,3,1,0
2025-01-02 18:00:00,210465.83333333334,212.25250244140616,256.4264264787947,247.090000152588,245.85895729064953,250.96867093934324,18,3,1,0
2025-01-02 19:00:00,76862.66666666667,240.40041478474947,212.25250244140616,256.4264264787947,246.3984365463258,249.5684019872914,19,3,1,0
2025-01-02 20:00:00,200801.0,251.3430023193361,240.40041478474947,212.25250244140616,246.9379158020021,249.31848441389238,20,3,1,0
2025-01-02 21:00:00,185919.0,246.7110015869141,251.3430023193361,240.40041478474947,247.47739505767836,249.50202968544795,21,3,1,0
2025-01-02 22:00:00,171819.2,243.40600051879878,246.7110015869141,251.3430023193361,248.01687431335463,249.47009662416613,22,3,1,0
2025-01-02 23:00:00,126188.45,240.10774955749517,243.40600051879878,246.7110015869141,250.24166531032972,249.2779768827263,23,3,1,0
2025-01-03 00:00:00,210465.83333333334,246.52000045776376,240.10774955749517,243.40600051879878,250.0730003356934,248.85573039302486,0,4,1,0
2025-01-03 01:00:00,165049.5,246.19833183288566,246.52000045776376,240.10774955749517,245.85812568664556,248.70768873144448,1,4,1,0
2025-01-03 02:00:00,162581.5185185185,246.39833464445906,246.19833183288566,246.52000045776376,243.3455564710829,248.72186398753783,2,4,1,0
2025-01-03 03:00:00,189661.45454545456,249.62363711270427,246.39833464445906,246.19833183288566,243.84874916076657,248.84906307809513,3,4,1,0
2025-01-03 04:00:00,173049.18181818182,241.32238682833588,249.62363711270427,246.39833464445906,253.54249827067065,249.08968340942587,4,4,1,0
2025-01-03 05:00:00,182758.4516129032,249.93871036652598,241.32238682833588,249.62363711270427,247.2838897705078,248.58051209932862,5,4,1,0
2025-01-03 06:00:00,174148.05555555556,254.04083336724185,249.93871036652598,241.32238682833588,252.23071289062514,248.6911296241627,6,4,1,0
2025-01-03 07:00:00,186180.76923076922,252.18346170278699,254.04083336724185,249.93871036652598,250.51499938964852,248.76655131068836,7,4,1,0
2025-01-03 08:00:00,173930.54166666666,247.65041637420654,252.18346170278699,254.04083336724185,253.759994506836,248.8360705737358,8,4,1,0
2025-01-03 09:00:00,177113.0,242.05249881744376,247.65041637420654,252.18346170278699,254.2455175991716,248.5815048182096,9,4,1,0
2025-01-03 10:00:00,177094.625,239.90875053405776,242.05249881744376,247.65041637420654,259.0414254324778,248.07346236897092,10,4,1,0
2025-01-03 11:00:00,186362.75,239.14375019073475,239.90875053405776,242.05249881744376,253.40250396728527,247.27626758153676,11,4,1,0
2025-01-03 12:00:00,164472.7,239.3614990234375,239.14375019073475,239.90875053405776,257.7760009765626,246.68215284084715,12,4,1,0
2025-01-03 13:00:00,200718.6,219.56699981689462,239.3614990234375,239.14375019073475,259.7180023193359,245.9148819261336,13,4,1,0
2025-01-03 14:00:00,186345.625,249.74562549591076,219.56699981689462,239.3614990234375,250.88846177321213,244.2419234885319,14,4,1,0
2025-01-03 15:00:00,200968.6,250.16600036621088,249.74562549591076,219.56699981689462,259.27099304199237,244.19430531031102,15,4,1,0
2025-01-03 16:00:00,154357.625,216.28187561035162,250.16600036621088,249.74562549591076,247.090000152588,243.8149306154868,16,4,1,0
